t.name,t.uri
cursorial,http://eol.org/schema/terms/cursorial
5th percentile,http://eol.org/schema/terms/5thPercentile
individuals per square kilometer,http://eol.org/schema/terms/individualspersquarekilometer
mangroves,http://eol.org/schema/terms/mangroves
the Nearctic,http://eol.org/schema/terms/Nearctic
the Neotropics,http://eol.org/schema/terms/Neotropical
newborn animal,http://purl.bioontology.org/ontology/CSP/0070-1441
desert,http://purl.obolibrary.org/obo/ENVO_00000097
savanna,http://purl.obolibrary.org/obo/ENVO_00000261
peninsula,http://purl.obolibrary.org/obo/ENVO_00000305,=
omnivore,http://www.owl-ontologies.com/unnamed.owl#Omnivore
birds,http://eol.org/schema/terms/bird
leaves of herbaceous plants,http://eol.org/schema/terms/herbaceousLeaf
mammals,http://eol.org/schema/terms/mammal
the Palearctic,http://eol.org/schema/terms/Palearctic
weanling,http://purl.bioontology.org/ontology/CSP/0070-2069
aquatic,http://purl.obolibrary.org/obo/ENVO_00000063
national park,http://purl.obolibrary.org/obo/ENVO_00000367
herbivore,http://www.owl-ontologies.com/unnamed.owl#Primary__Herbivore
herbivore,http://www.wikidata.org/entity/Q59099
above ground dwelling,http://eol.org/schema/terms/aboveGroundDwelling
caatinga,http://eol.org/schema/terms/Caatinga
fish,http://eol.org/schema/terms/fish
herptile,http://eol.org/schema/terms/herptile
ocean,http://purl.obolibrary.org/obo/ENVO_00000015
fresh water,http://purl.obolibrary.org/obo/ENVO_00002011
anthropogenic habitat,http://purl.obolibrary.org/obo/ENVO_00002031
not invasive in,http://eol.org/schema/terms/NonInvasiveRange
shore,http://purl.obolibrary.org/obo/ENVO_00000304
zoological garden,http://purl.obolibrary.org/obo/ENVO_00010625
french Equatorial Africa,https://www.wikidata.org/entity/Q271894
kerguelen Islands,https://www.wikidata.org/entity/Q46772
saint Lucia,https://www.wikidata.org/entity/Q760
thailand,https://www.wikidata.org/entity/Q869
democratic Republic of the Congo,https://www.wikidata.org/entity/Q974
palmyra Atoll,https://www.wikidata.org/entity/Q123076
united States,https://www.wikidata.org/entity/Q30
east Timor,https://www.wikidata.org/entity/Q574
zimbabwe,https://www.wikidata.org/entity/Q954
abant Lake,http://www.geonames.org/752922
abyssal plain,http://purl.obolibrary.org/obo/ENVO_00000244
achondrite,http://purl.obolibrary.org/obo/ENVO_00002050
acid dune sand,http://purl.obolibrary.org/obo/ENVO_00005798
acid glade,http://eol.org/schema/terms/acidGlade
acıgöl Lake,http://www.geonames.org/325452
activated sludge,http://purl.obolibrary.org/obo/ENVO_00002046
adak Island,http://www.wikidata.org/entity/Q176381
adams County,http://www.geonames.org/5785282
adelaide Peninsula,http://www.wikidata.org/entity/Q353908
admirality Island,http://www.geonames.org/5844270
adolescent,http://purl.obolibrary.org/obo/PATO_0001189
adriatic Sea,http://www.geonames.org/3183462
adult and juvenile,http://eol.org/schema/terms/adultAndJuvenile
adult and larva,http://eol.org/schema/terms/adultAndLarva
adult and nymph,http://eol.org/schema/terms/adultAndNymph
adult and pupa,http://eol.org/schema/terms/adultAndPupa
adult and subadult,http://eol.org/schema/terms/adultAndSubadult
adventdalen,http://www.wikidata.org/entity/Q379820
adventfjord,http://eol.org/schema/terms/Adventfjord
"agapa River Valley, Taimyr",http://eol.org/schema/terms/AgapaRiverValley
"agattu Island, Alaska",http://www.geonames.org/4045508
agricultural wastewater treatment plant,http://purl.obolibrary.org/obo/ENVO_2000003
air,http://purl.obolibrary.org/obo/ENVO_00002005
air conditioning unit,http://purl.obolibrary.org/obo/ENVO_00002874
air filter,http://purl.obolibrary.org/obo/ENVO_00003968
akgöl River,http://www.geonames.org/324715
aksaray,http://www.geonames.org/443185
aksehir,http://www.geonames.org/324489
aksu Stream,http://www.geonames.org/324466
alakır Stream,http://www.geonames.org/324235
alara Stream,http://www.geonames.org/324177
alaska,http://www.wikidata.org/entity/Q797
alaska Peninsula,http://www.wikidata.org/entity/Q60064
albeluvisol,http://purl.obolibrary.org/obo/ENVO_00002233
"alexander Island, Canada",http://www.geonames.org/5883428
algal bloom,http://purl.obolibrary.org/obo/ENVO_2000004
alisol,http://purl.obolibrary.org/obo/ENVO_00002231
alkaline salt lake,http://purl.obolibrary.org/obo/ENVO_00002121
allotment garden,http://purl.obolibrary.org/obo/ENVO_00005745
allotment garden soil,http://purl.obolibrary.org/obo/ENVO_00005744
alluvial paddy field soil,http://purl.obolibrary.org/obo/ENVO_00005759
alluvial swamp soil,http://purl.obolibrary.org/obo/ENVO_00005758
along-front current,http://purl.obolibrary.org/obo/ENVO_01000100
altai,http://www.geonames.org/1516393
amami-Osima,http://www.geonames.org/1865354
ambodirafia,http://www.geonames.org/1081096
ambon,http://www.geonames.org/6762443
"amchitka Island, Alaska",http://www.wikidata.org/entity/Q460282
amenity lake,http://purl.obolibrary.org/obo/ENVO_00000451
ammarnas,http://www.wikidata.org/entity/Q472820
amniotic fluid,http://purl.obolibrary.org/obo/ENVO_02000021
ampefy,http://www.geonames.org/1077895
amudsen Basin,http://eol.org/schema/terms/AmudsenBasin
amund Rignes Island,http://www.wikidata.org/entity/Q481597
amundsen Gulf,http://www.wikidata.org/entity/Q1974744
anabarsky District,http://www.wikidata.org/entity/Q698261
anaerobic stream sediment,http://purl.obolibrary.org/obo/ENVO_00002134
anamba Island,http://www.geonames.org/1651441
anami Islands,http://eol.org/schema/terms/AnamiIslands
anatolia,http://www.geonames.org/323835
"andreafsky River, Alaska",http://www.wikidata.org/entity/Q305100
animal manure,http://purl.obolibrary.org/obo/ENVO_00003031
animal matter fall,http://purl.obolibrary.org/obo/ENVO_01000139
annam,http://www.geonames.org/1594320
annual,http://eol.org/schema/terms/annual
antalya,http://www.geonames.org/323777
antarctica,http://eol.org/schema/terms/Antarctia
anthropogenic abiotic mesoscopic feature,http://purl.obolibrary.org/obo/ENVO_00003075
anthrosol,http://purl.obolibrary.org/obo/ENVO_00002230
anuk Lake,http://www.geonames.org/323842
anvik River,http://www.wikidata.org/entity/Q612981
aphotic zone,http://purl.obolibrary.org/obo/ENVO_00000210
apolyont Lake,http://www.geonames.org/738445
appalachian oak forest (dry-mesic),http://eol.org/schema/terms/Appalachian_oak_forest_--dry_mesic--
aquarium,http://purl.obolibrary.org/obo/ENVO_00002196
aqueous humour,http://purl.obolibrary.org/obo/ENVO_02000024
arabia,http://www.geonames.org/6957698
aras River,http://www.geonames.org/143105
arbuscular mycorrhizal association,http://purl.obolibrary.org/obo/GO_0036377
"archangelsk, Russian Federation",http://www.geonames.org/581049
arctic,http://www.wikidata.org/entity/Q25322
arctic Basin,http://www.wikidata.org/entity/Q3276839
arctoboreal,http://eol.org/schema/terms/arctoboreal
